"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USW00094129","PULLMAN MOSCOW REGIONAL AIRPORT, WA US","46.74389","-117.10861","777.5","2006-02-01","19.24",",,W"," 0732",",,W","0.17",",,W",,,,,,,,,"48",",,W","35",",,W",,,"  240",",,W","  250",",,W","40.0",",,W","52.1",",,W","    1",",,W",,,,,,,,
"USW00094129","PULLMAN MOSCOW REGIONAL AIRPORT, WA US","46.74389","-117.10861","777.5","2006-02-02","13.20",",,W"," 0934",",,W","0.41",",,W",,,,,,,,,"47",",,W","35",",,W",,,"  250",",,W","  240",",,W","29.1",",,W","36.9",",,W","    1",",,W",,,,,,,,
"USW00094129","PULLMAN MOSCOW REGIONAL AIRPORT, WA US","46.74389","-117.10861","777.5","2006-02-03","10.96",",,W"," 0037",",,W","0.00",",,W",,,,,,,,,"50",",,W","37",",,W",,,"  250",",,W","  240",",,W","23.0",",,W","32.0",",,W",,,,,,,,,,
"USW00094129","PULLMAN MOSCOW REGIONAL AIRPORT, WA US","46.74389","-117.10861","777.5","2006-02-04","24.16",",,W"," 1253",",,W","0.08",",,W",,,,,,,,,"48",",,W","34",",,W",,,"  230",",,W","  240",",,W","38.9",",,W","51.0",",,W","    1",",,W",,,,,,,,
"USW00094129","PULLMAN MOSCOW REGIONAL AIRPORT, WA US","46.74389","-117.10861","777.5","2006-02-05","10.07",",,W"," 0012",",,W","0.00","T,,W",,,,,,,,,"42",",,W","30",",,W",,,"  250",",,W","  240",",,W","25.9",",,W","35.1",",,W",,,,,,,,,,
"USW00094129","PULLMAN MOSCOW REGIONAL AIRPORT, WA US","46.74389","-117.10861","777.5","2006-02-06","11.18",",,W"," 0851",",,W","0.00",",,W",,,,,,,,,"45",",,W","32",",,W",,,"   90",",,W","  100",",,W","21.0",",,W","23.9",",,W",,,,,,,,,,
"USW00094129","PULLMAN MOSCOW REGIONAL AIRPORT, WA US","46.74389","-117.10861","777.5","2006-02-07","9.62",",,W"," 1003",",,W","0.00",",,W",,,,,,,,,"48",",,W","33",",,W",,,"   50",",,W","  350",",,W","19.9",",,W","36.0",",,W",,,,,,,,,,
"USW00094129","PULLMAN MOSCOW REGIONAL AIRPORT, WA US","46.74389","-117.10861","777.5","2006-02-08","5.82",",,W"," 0722",",,W","0.02",",,W",,,,,,,,,"43",",,W","32",",,W",,,"  130",",,W","  130",",,W","15.0",",,W","19.9",",,W","    1",",,W",,,,,,,,
"USW00094129","PULLMAN MOSCOW REGIONAL AIRPORT, WA US","46.74389","-117.10861","777.5","2006-02-09","2.68",",,W"," 0908",",,W","0.01",",,W",,,,,,,,,"42",",,W","25",",,W",,,"  140",",,W","   90",",,W","12.1",",,W","28.0",",,W","    1",",,W","    1",",,W",,,,,,
"USW00094129","PULLMAN MOSCOW REGIONAL AIRPORT, WA US","46.74389","-117.10861","777.5","2006-02-10","7.61",",,W"," 0956",",,W","0.00",",,W",,,,,,,,,"42",",,W","24",",,W",,,"   90",",,W","   90",",,W","23.0",",,W","29.1",",,W",,,,,,,,,,
